time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
0.1,1,0.1791,0.089,2.0,20.0,10.0,2.0,0.0,2.9052
0.1,2,-2.0049,-2.0049,2.0,20.0,10.0,2.0,0.2065,2.9052
0.1,3,-2.0049,2.0049,2.0,20.0,10.0,2.0,0.2023,2.9052
0.2,1,0.3582,0.1781,2.0,20.0,10.0,2.0,0.0,2.9775
0.2,2,-1.9791,-1.9917,2.0,20.0,10.0,2.0,0.3776,2.9775
0.2,3,-1.982,2.0191,2.0,20.0,10.0,2.0,0.3754,2.9775
0.3,1,0.5371,0.2675,2.0,20.0,10.0,2.0,0.0,3.0431
0.3,2,-1.9319,-1.9679,2.0,20.0,10.0,2.0,0.5247,3.0431
0.3,3,-1.935,2.0419,2.0,20.0,10.0,2.0,0.5232,3.0431
0.4,1,0.716,0.3569,2.0,20.0,10.0,2.0,0.0,3.103
0.4,2,-1.8662,-1.935,2.0,20.0,10.0,2.0,0.6513,3.103
0.4,3,-1.8689,2.0735,2.0,20.0,10.0,2.0,0.65,3.103
0.5,1,0.8948,0.4464,2.0,20.0,10.0,2.0,0.0,3.1577
0.5,2,-1.7847,-1.8941,2.0,20.0,10.0,2.0,0.7601,3.1577
0.5,3,-1.7871,2.1132,2.0,20.0,10.0,2.0,0.7589,3.1577
0.6,1,1.0737,0.5358,2.0,20.0,10.0,2.0,0.0,3.2069
0.6,2,-1.6896,-1.8464,2.0,20.0,10.0,2.0,0.8537,3.2069
0.6,3,-1.6916,2.1598,2.0,20.0,10.0,2.0,0.8527,3.2069
0.7,1,1.2526,0.6253,2.0,20.0,10.0,2.0,0.0,3.2509
0.7,2,-1.5827,-1.7929,2.0,20.0,10.0,2.0,0.9342,3.2509
0.7,3,-1.5844,2.2125,2.0,20.0,10.0,2.0,0.9333,3.2509
0.8,1,1.4315,0.7147,2.0,20.0,10.0,2.0,0.0,3.2898
0.8,2,-1.4658,-1.7344,2.0,20.0,10.0,2.0,1.0034,3.2898
0.8,3,-1.4673,2.2703,2.0,20.0,10.0,2.0,1.0026,3.2898
0.9,1,1.6104,0.8042,2.0,20.0,10.0,2.0,0.0,3.324
0.9,2,-1.3402,-1.6715,2.0,20.0,10.0,2.0,1.0629,3.324
0.9,3,-1.3414,2.3325,2.0,20.0,10.0,2.0,1.0623,3.324
1.0,1,1.7893,0.8936,2.0,20.0,10.0,2.0,0.0,3.354
1.0,2,-1.2071,-1.6049,2.0,20.0,10.0,2.0,1.1141,3.354
1.0,3,-1.2082,2.3985,2.0,20.0,10.0,2.0,1.1136,3.354
1.1,1,1.9681,0.9831,2.0,20.0,10.0,2.0,0.0,3.3802
1.1,2,-1.0676,-1.5351,2.0,20.0,10.0,2.0,1.1581,3.3802
1.1,3,-1.0685,2.4678,2.0,20.0,10.0,2.0,1.1577,3.3802
1.2,1,2.147,1.0725,2.0,20.0,10.0,2.0,0.0,3.4031
1.2,2,-0.9226,-1.4626,2.0,20.0,10.0,2.0,1.196,3.4031
1.2,3,-0.9234,2.54,2.0,20.0,10.0,2.0,1.1956,3.4031
1.3,1,2.3259,1.162,2.0,20.0,10.0,2.0,0.0,3.4229
1.3,2,-0.7728,-1.3877,2.0,20.0,10.0,2.0,1.2286,3.4229
1.3,3,-0.7735,2.6145,2.0,20.0,10.0,2.0,1.2282,3.4229
