time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
0.1,1,0.1807,0.0857,2.0,20.0,10.0,2.0,0.0,2.8353
0.1,2,-2.0,-2.0,2.0,20.0,10.0,2.0,0.2,2.8353
0.1,3,-2.0,2.0,2.0,20.0,10.0,2.0,0.2,2.8353
0.1,4,-4.0049,-4.0049,2.0,20.0,10.0,2.0,0.2065,2.8353
0.1,5,-4.0049,4.0049,2.0,20.0,10.0,2.0,0.2024,2.8353
0.2,1,0.3612,0.1719,2.0,20.0,10.0,2.0,0.0,2.8436
0.2,2,-1.97,-1.9833,2.0,20.0,10.0,2.0,0.3658,2.8436
0.2,3,-1.973,2.0099,2.0,20.0,10.0,2.0,0.3714,2.8436
0.2,4,-3.9835,-3.9968,2.0,20.0,10.0,2.0,0.3838,2.8436
0.2,5,-3.9835,4.0208,2.0,20.0,10.0,2.0,0.3764,2.8436
0.3,1,0.5405,0.2605,2.0,20.0,10.0,2.0,0.0,2.8528
0.3,2,-1.9194,-1.9573,2.0,20.0,10.0,2.0,0.5088,2.8528
0.3,3,-1.9227,2.0289,2.0,20.0,10.0,2.0,0.5179,2.8528
0.3,4,-3.9396,-3.9775,2.0,20.0,10.0,2.0,0.5358,2.8528
0.3,5,-3.9397,4.0464,2.0,20.0,10.0,2.0,0.5257,2.8528
0.4,1,0.7193,0.35,2.0,20.0,10.0,2.0,0.0,2.8612
0.4,2,-1.8509,-1.9228,2.0,20.0,10.0,2.0,0.6322,2.8612
0.4,3,-1.8537,2.0572,2.0,20.0,10.0,2.0,0.6435,2.8612
0.4,4,-3.8764,-3.9482,2.0,20.0,10.0,2.0,0.6662,2.8612
0.4,5,-3.8766,4.0805,2.0,20.0,10.0,2.0,0.6541,2.8612
0.5,1,0.8982,0.4395,2.0,20.0,10.0,2.0,0.0,2.8677
0.5,2,-1.7673,-1.8807,2.0,20.0,10.0,2.0,0.7385,2.8677
0.5,3,-1.7695,2.0942,2.0,20.0,10.0,2.0,0.7517,2.8677
0.5,4,-3.7969,-3.9103,2.0,20.0,10.0,2.0,0.7781,2.8677
0.5,5,-3.7971,4.1222,2.0,20.0,10.0,2.0,0.7643,2.8677
0.6,1,1.077,0.529,2.0,20.0,10.0,2.0,0.0,2.8728
0.6,2,-1.6704,-1.8322,2.0,20.0,10.0,2.0,0.8302,2.8728
0.6,3,-1.6723,2.1388,2.0,20.0,10.0,2.0,0.8449,2.8728
0.6,4,-3.7032,-3.865,2.0,20.0,10.0,2.0,0.8741,2.8728
0.6,5,-3.7035,4.1704,2.0,20.0,10.0,2.0,0.859,2.8728
0.7,1,1.2559,0.6186,2.0,20.0,10.0,2.0,0.0,2.8768
0.7,2,-1.5622,-1.7781,2.0,20.0,10.0,2.0,0.9092,2.8768
0.7,3,-1.5638,2.1899,2.0,20.0,10.0,2.0,0.925,2.8768
0.7,4,-3.5975,-3.8134,2.0,20.0,10.0,2.0,0.9565,2.8768
0.7,5,-3.5978,4.2242,2.0,20.0,10.0,2.0,0.9404,2.8768
0.8,1,1.4347,0.7081,2.0,20.0,10.0,2.0,0.0,2.8798
0.8,2,-1.4443,-1.7191,2.0,20.0,10.0,2.0,0.9773,2.8798
0.8,3,-1.4456,2.2464,2.0,20.0,10.0,2.0,0.994,2.8798
0.8,4,-3.4815,-3.7564,2.0,20.0,10.0,2.0,1.0272,2.8798
0.8,5,-3.4818,4.2829,2.0,20.0,10.0,2.0,1.0104,2.8798
0.9,1,1.6136,0.7976,2.0,20.0,10.0,2.0,0.0,2.8823
0.9,2,-1.3178,-1.656,2.0,20.0,10.0,2.0,1.036,2.8823
0.9,3,-1.3189,2.3076,2.0,20.0,10.0,2.0,1.0534,2.8823
0.9,4,-3.3566,-3.6947,2.0,20.0,10.0,2.0,1.0879,2.8823
0.9,5,-3.3569,4.3458,2.0,20.0,10.0,2.0,1.0705,2.8823
1.0,1,1.7924,0.8871,2.0,20.0,10.0,2.0,0.0,2.8841
1.0,2,-1.1841,-1.5892,2.0,20.0,10.0,2.0,1.0865,2.8841
1.0,3,-1.185,2.3729,2.0,20.0,10.0,2.0,1.1045,2.8841
1.0,4,-3.2241,-3.6291,2.0,20.0,10.0,2.0,1.14,2.8841
