time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
0.1,1,0.1692,0.1067,2.0,20.0,20.0,2.0,0.0,0.0202
0.1,2,-2.0414,-2.0414,2.0,20.0,20.0,2.0,0.2575,0.0202
0.1,3,-2.0414,2.0414,2.0,20.0,20.0,2.0,0.2205,0.0202
0.1,4,19.8715,19.8468,2.0,20.0,20.0,2.0,30.7184,0.0202
0.1,5,19.8567,19.8605,2.0,20.0,20.0,2.0,28.0276,0.0202
0.2,1,0.337,0.2154,2.0,20.0,20.0,2.0,0.0,0.0869
0.2,2,-2.0469,-2.0541,2.0,20.0,20.0,2.0,0.4691,0.0869
0.2,3,-2.054,2.0849,2.0,20.0,20.0,2.0,0.4123,0.0869
0.2,4,19.7473,19.69,2.0,20.0,20.0,2.0,30.3242,0.0869
0.2,5,19.6878,19.7533,2.0,20.0,20.0,2.0,27.6303,0.0869
0.3,1,0.5034,0.3264,2.0,20.0,20.0,2.0,0.0,0.1534
0.3,2,-2.0227,-2.0435,2.0,20.0,20.0,2.0,0.6431,0.1534
0.3,3,-2.0412,2.1316,2.0,20.0,20.0,2.0,0.5784,0.1534
0.3,4,19.6229,19.5334,2.0,20.0,20.0,2.0,29.9294,0.1534
0.3,5,19.519,19.6461,2.0,20.0,20.0,2.0,27.2328,0.1534
0.4,1,0.6682,0.4397,2.0,20.0,20.0,2.0,0.0,0.2194
0.4,2,-1.9738,-2.0138,2.0,20.0,20.0,2.0,0.7861,0.2194
0.4,3,-2.0063,2.1824,2.0,20.0,20.0,2.0,0.7219,0.2194
0.4,4,19.4986,19.3767,2.0,20.0,20.0,2.0,29.5341,0.2194
0.4,5,19.3504,19.5386,2.0,20.0,20.0,2.0,26.8351,0.2194
0.5,1,0.8315,0.5552,2.0,20.0,20.0,2.0,0.0,0.2851
0.5,2,-1.9048,-1.9682,2.0,20.0,20.0,2.0,0.9034,0.2851
0.5,3,-1.9524,2.2379,2.0,20.0,20.0,2.0,0.8457,0.2851
0.5,4,19.3742,19.2201,2.0,20.0,20.0,2.0,29.1383,0.2851
0.5,5,19.182,19.4307,2.0,20.0,20.0,2.0,26.4371,0.2851
0.6,1,0.9933,0.6727,2.0,20.0,20.0,2.0,0.0,0.3503
0.6,2,-1.8193,-1.9096,2.0,20.0,20.0,2.0,0.9998,0.3503
0.6,3,-1.8825,2.2985,2.0,20.0,20.0,2.0,0.9525,0.3503
0.6,4,19.2497,19.0635,2.0,20.0,20.0,2.0,28.7421,0.3503
0.6,5,19.0138,19.3225,2.0,20.0,20.0,2.0,26.039,0.3503
0.7,1,1.1539,0.792,2.0,20.0,20.0,2.0,0.0,0.4151
0.7,2,-1.7204,-1.84,2.0,20.0,20.0,2.0,1.0788,0.4151
0.7,3,-1.799,2.3642,2.0,20.0,20.0,2.0,1.0445,0.4151
0.7,4,19.1252,18.907,2.0,20.0,20.0,2.0,28.3455,0.4151
0.7,5,18.8458,19.2139,2.0,20.0,20.0,2.0,25.6408,0.4151
0.8,1,1.3133,0.9127,2.0,20.0,20.0,2.0,0.0,0.4795
0.8,2,-1.6105,-1.7614,2.0,20.0,20.0,2.0,1.1436,0.4795
0.8,3,-1.704,2.4352,2.0,20.0,20.0,2.0,1.1238,0.4795
0.8,4,19.0007,18.7505,2.0,20.0,20.0,2.0,27.9487,0.4795
0.8,5,18.678,19.1051,2.0,20.0,20.0,2.0,25.2425,0.4795
0.9,1,1.4718,1.0348,2.0,20.0,20.0,2.0,0.0,0.5434
0.9,2,-1.4918,-1.675,2.0,20.0,20.0,2.0,1.1968,0.5434
0.9,3,-1.5994,2.5113,2.0,20.0,20.0,2.0,1.1923,0.5434
0.9,4,18.8761,18.5941,2.0,20.0,20.0,2.0,27.5517,0.5434
0.9,5,18.5104,18.9959,2.0,20.0,20.0,2.0,24.8441,0.5434
1.0,1,1.6293,1.158,2.0,20.0,20.0,2.0,0.0,0.6068
1.0,2,-1.3665,-1.5827,2.0,20.0,20.0,2.0,1.2411,0.6068
